0,0,159.349,-4.30166,1115.1
5,1,627.059,321.798,722.954
7,0,1136.05,-725.494,738.576
2,1,574.506,75.1583,703.962
5,1,958.235,-682.584,752.27
2,1,1135.68,683.058,697.012
8,0,1392.96,-736.461,745.936
1,1,782.136,-592.704,770.497
2,1,881.087,646.825,757.043
2,1,906.083,-630.898,730.563
5,1,1135.11,653.819,668.502
2,1,951.091,-669.957,743.909
2,1,807.902,681.209,825.656
2,1,1013.67,-672.484,721.276
2,1,1056.11,650.192,685.87
2,1,1105.04,-674.894,695.83
2,1,885.868,-636.401,745.653
8,0,1187.45,-668.996,674.629
1,0,-17.8086,-39.179,1292.85
5,1,1043.54,-637.919,678.422
8,0,815.365,505.241,682.659
7,1,959.713,-384.167,496.629
5,0,1423.73,364.412,393.806
2,1,879.613,-642.579,754.189
2,1,931.522,488.521,596.866
2,1,966.93,-349.646,465.637
1,1,902.246,669.402,765.918
2,1,750.623,-506.621,728.735
1,1,1047.36,715.492,750.664
2,1,944.053,-276.428,430.78
2,1,1216.34,274.304,280.389
1,1,1017.96,-214.943,334.641
7,1,1264.02,392.494,392.632
8,0,579.484,-515.195,865.099
2,1,836.202,-550.2,703.404
5,0,941.6,483.728,587.179
2,1,766.263,-304.793,592.577
8,0,504.724,-599.631,975.719
1,1,396.612,172.763,894.672
7,1,827.014,542.986,703.583
3,1,1040.12,-204.307,310.883
3,1,1089.21,-141.434,233.053
6,0,1033.32,153.377,285.77
2,1,1304.32,488.761,489.673
5,1,1276.56,-688.247,688.25
5,1,1330.32,642.215,644.641
1,1,1230.21,-644.318,645.835
1,1,1192.29,616.056,621.51
2,1,1200.86,-635.47,639.716
2,1,1147.74,649.822,662.059
2,1,1036.42,-635.6,678.707
2,1,958.776,672.896,743.26
2,1,904.542,-649.453,747.407
2,1,776.083,547.433,740.303
2,1,856.147,-647.382,770.764
2,1,638.314,360.055,730.96
2,1,647.806,-372.19,728.836
1,1,496.767,14.7852,777.818
1,1,530.61,-15.5339,743.997
2,1,589.431,-185.402,709.661
7,1,869.521,-8.73236,405.019
7,1,855.99,96.1778,429.366
2,1,1199.61,-21.0604,77.7468
3,1,1097.48,256.828,311.893
2,1,1073.96,-454.406,496.667
2,1,963.929,350.872,468.542
7,0,977.871,-361.055,467.244
1,1,958.436,-154.441,351.729
2,1,1060.8,221.276,307.58
1,1,1145.35,-370.579,392.42
1,1,848.997,193.71,467.471
2,1,1051.41,-516.989,563.047
7,1,1118.99,452.653,478.602
7,0,1028.76,-391.922,462.564
2,1,1024.36,-158.554,296.114
7,1,1314.7,273.981,276.923
2,1,1187.94,37.0681,94.1107
3,1,1230.67,-155.631,161.669
2,1,1116.55,-3.13311,157.927
6,0,1492.55,-559.073,600.112
2,1,1537.27,367.585,451.88
6,0,1105.76,-124.915,209.9
3,1,1161.09,85.7921,142.161
2,1,1314.92,302.321,305.017
2,1,888.722,-344.554,517.204
2,1,1222.51,423.02,426.196
1,1,925.437,-576.343,673.778
2,1,934.309,322.722,468.873
7,1,1116.67,-354.886,388.378
2,1,1162.25,314.118,333.552
2,1,1010.95,-490.973,557.21
2,1,1069.39,351.979,407.353
7,1,1036.15,-354,426.732
5,1,1024.41,456.074,520.117
7,1,1234.63,-524.723,526.232
2,1,897.014,-42.2154,379.784
2,1,1204.73,501.646,506.467
2,1,730.107,-82.5692,550.565
2,1,845.182,80.5307,436.751
7,0,1037.67,188.919,302.91
7,0,939.303,-190.617,385.559
7,0,942.98,-37.0958,333.534
7,1,1235.21,-437.99,439.744
